"orderNumber","orderDate","requiredDate","shippedDate","status","comments","customerNumber"
10358,"12/10/2004 00:00:00","12/16/2004 00:00:00","12/16/2004 00:00:00","Shipped","Customer requested that DHL is used for this shipping",141
10359,"12/15/2004 00:00:00","12/23/2004 00:00:00","12/18/2004 00:00:00","Shipped",,353
10360,"12/16/2004 00:00:00","12/22/2004 00:00:00","12/18/2004 00:00:00","Shipped",,496
10361,"12/17/2004 00:00:00","12/24/2004 00:00:00","12/20/2004 00:00:00","Shipped",,282
10362,"01/05/2005 00:00:00","01/16/2005 00:00:00","01/10/2005 00:00:00","Shipped",,161
10363,"01/06/2005 00:00:00","01/12/2005 00:00:00","01/10/2005 00:00:00","Shipped",,334
10364,"01/06/2005 00:00:00","01/17/2005 00:00:00","01/09/2005 00:00:00","Shipped",,350
10365,"01/07/2005 00:00:00","01/18/2005 00:00:00","01/11/2005 00:00:00","Shipped",,320
10366,"01/10/2005 00:00:00","01/19/2005 00:00:00","01/12/2005 00:00:00","Shipped",,381
10368,"01/19/2005 00:00:00","01/27/2005 00:00:00","01/24/2005 00:00:00","Shipped","Can we renegotiate this one?",124
10369,"01/20/2005 00:00:00","01/28/2005 00:00:00","01/24/2005 00:00:00","Shipped",,379
10370,"01/20/2005 00:00:00","02/01/2005 00:00:00","01/25/2005 00:00:00","Shipped",,276
10371,"01/23/2005 00:00:00","02/03/2005 00:00:00","01/25/2005 00:00:00","Shipped",,124
10372,"01/26/2005 00:00:00","02/05/2005 00:00:00","01/28/2005 00:00:00","Shipped",,398
10373,"01/31/2005 00:00:00","02/08/2005 00:00:00","02/06/2005 00:00:00","Shipped",,311
10374,"02/02/2005 00:00:00","02/09/2005 00:00:00","02/03/2005 00:00:00","Shipped",,333
10375,"02/03/2005 00:00:00","02/10/2005 00:00:00","02/06/2005 00:00:00","Shipped",,119
10376,"02/08/2005 00:00:00","02/18/2005 00:00:00","02/13/2005 00:00:00","Shipped",,219
10377,"02/09/2005 00:00:00","02/21/2005 00:00:00","02/12/2005 00:00:00","Shipped","Cautious optimism. We have happy customers here, if we can keep them well stocked.  I need all the information I can get on the planned shippments of Porches",186
10378,"02/10/2005 00:00:00","02/18/2005 00:00:00","02/11/2005 00:00:00","Shipped",,141
10379,"02/10/2005 00:00:00","02/18/2005 00:00:00","02/11/2005 00:00:00","Shipped",,141
10380,"02/16/2005 00:00:00","02/24/2005 00:00:00","02/18/2005 00:00:00","Shipped",,141
10381,"02/17/2005 00:00:00","02/25/2005 00:00:00","02/18/2005 00:00:00","Shipped",,321
10382,"02/17/2005 00:00:00","02/23/2005 00:00:00","02/18/2005 00:00:00","Shipped","Custom shipping instructions sent to warehouse",124
10383,"02/22/2005 00:00:00","03/02/2005 00:00:00","02/25/2005 00:00:00","Shipped",,141
10384,"02/23/2005 00:00:00","03/06/2005 00:00:00","02/27/2005 00:00:00","Shipped",,321
10385,"02/28/2005 00:00:00","03/09/2005 00:00:00","03/01/2005 00:00:00","Shipped",,124
10387,"03/02/2005 00:00:00","03/09/2005 00:00:00","03/06/2005 00:00:00","Shipped","We need to keep in close contact with their Marketing VP. He is the decision maker for all their purchases.",148
10388,"03/03/2005 00:00:00","03/11/2005 00:00:00","03/09/2005 00:00:00","Shipped",,462
10389,"03/03/2005 00:00:00","03/09/2005 00:00:00","03/08/2005 00:00:00","Shipped",,448
10390,"03/04/2005 00:00:00","03/11/2005 00:00:00","03/07/2005 00:00:00","Shipped","They want to reevaluate their terms agreement with Finance.",124
10391,"03/09/2005 00:00:00","03/20/2005 00:00:00","03/15/2005 00:00:00","Shipped",,276
10392,"03/10/2005 00:00:00","03/18/2005 00:00:00","03/12/2005 00:00:00","Shipped",,452
10393,"03/11/2005 00:00:00","03/22/2005 00:00:00","03/14/2005 00:00:00","Shipped","They want to reevaluate their terms agreement with Finance.",323
10394,"03/15/2005 00:00:00","03/25/2005 00:00:00","03/19/2005 00:00:00","Shipped",,141
10395,"03/17/2005 00:00:00","03/24/2005 00:00:00","03/23/2005 00:00:00","Shipped","We must be cautions with this customer. Their VP of Sales resigned. Company may be heading down.",250
10396,"03/23/2005 00:00:00","04/02/2005 00:00:00","03/28/2005 00:00:00","Shipped",,124
10397,"03/28/2005 00:00:00","04/09/2005 00:00:00","04/01/2005 00:00:00","Shipped",,242
10398,"03/30/2005 00:00:00","04/09/2005 00:00:00","03/31/2005 00:00:00","Shipped",,353
10399,"04/01/2005 00:00:00","04/12/2005 00:00:00","04/03/2005 00:00:00","Shipped",,496
10400,"04/01/2005 00:00:00","04/11/2005 00:00:00","04/04/2005 00:00:00","Shipped","Customer requested that DHL is used for this shipping",450
10402,"04/07/2005 00:00:00","04/14/2005 00:00:00","04/12/2005 00:00:00","Shipped",,406
10403,"04/08/2005 00:00:00","04/18/2005 00:00:00","04/11/2005 00:00:00","Shipped",,201
10404,"04/08/2005 00:00:00","04/14/2005 00:00:00","04/11/2005 00:00:00","Shipped",,323
10405,"04/14/2005 00:00:00","04/24/2005 00:00:00","04/20/2005 00:00:00","Shipped",,209
10408,"04/22/2005 00:00:00","04/29/2005 00:00:00","04/27/2005 00:00:00","Shipped",,398
10409,"04/23/2005 00:00:00","05/05/2005 00:00:00","04/24/2005 00:00:00","Shipped",,166
10410,"04/29/2005 00:00:00","05/10/2005 00:00:00","04/30/2005 00:00:00","Shipped",,357
10411,"05/01/2005 00:00:00","05/08/2005 00:00:00","05/06/2005 00:00:00","Shipped",,233
10412,"05/03/2005 00:00:00","05/13/2005 00:00:00","05/05/2005 00:00:00","Shipped",,141
10413,"05/05/2005 00:00:00","05/14/2005 00:00:00","05/09/2005 00:00:00","Shipped","Customer requested that DHL is used for this shipping",175
10416,"05/10/2005 00:00:00","05/16/2005 00:00:00","05/14/2005 00:00:00","Shipped",,386
10418,"05/16/2005 00:00:00","05/24/2005 00:00:00","05/20/2005 00:00:00","Shipped",,412
10419,"05/17/2005 00:00:00","05/28/2005 00:00:00","05/19/2005 00:00:00","Shipped",,382
